"","ds","smd","ppc","oddratio","r","etas","betas","r2s","z","ts"
"1",NA,NA,NA,NA,NA,NA,-0.15647672301706,NA,-0.301154518883023,NA
"2",-0.553739029937715,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,-0.247915175149969,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,-0.204124145231932,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,-0.231049175067779,NA,NA,NA
"6",-0.688749461914693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,-0.88,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,-0.150501688254551,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,-0.119597734516432,NA,NA,NA
"10",0.0149983127847122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-0.00999950003749688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",-0.274085979637935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-0.251633851764951,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,-0.64,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,-0.94,NA,NA,NA,NA,NA
"16",-0.0995037190209989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-0.645428491697354,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-0.317649722808369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-0.317649722808369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-0.274085979637935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",-0.251633851764951,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,-0.95,NA,NA,NA,NA,NA
"23",0.936688443533011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.959589247286098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.978506003051416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.969709921946144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",0.901657978468868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.873004559860684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.934487734928968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.98881569234227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,-0.95,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,-0.670820393249937,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,-0.547722557505166,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,-0.447213595499958,NA,NA
"38",-0.387232484355092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.948524827718295,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-0.432731067584771,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.143499310466994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.153170954413191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.148340452930245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.517637881190732,NA,NA,NA,NA,NA,NA,NA,NA,NA
