Article_ID,ES_ID,Direction of effect,Notes,Response variable,Predictor variable,Age of birds,Species,Avgclutch,size,extype,Habtype,d,v,F,df,df1,df2,t,p,adj p,χ2,β,r,rs,R²,se,η2,z,L,RR,OR,n1,n2,n1p,n1s,n2p,n2s,N,Known_N,m1,se1,sd1,m2,se2,sd2,prop1,prop2,m1p,se1p,sd1p,m1s,se1s,sd1s,m2p,se2p,sd2p,m2s,se2s,sd2s,ciL1,ciU1,ciL2,ciU2,max.1,q3.1,med.1,q1.1,min.1,max.2,q3.2,med.2,q1.2,min.2
1001.0000,1001a,positive,,brood survival 0-2 weeks,invertebrate dry biomass,Nestling,Attwater prairie chicken,12.0000,870.1000,natural variation,grasslands,,,,,,,,0.0000,,,1.3400,,,,0.3600,,3.7100,,,,,,,,,,138.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021a,positive,,chicks per hen,total larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,1.3300,0.2000,7.6000,,1.0000,24.0000,,0.0100,,,,,,,,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021b,positive,,chicks per female,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0200,,,0.5400,,,,0.2200,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021c,positive,,brood size,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0500,,,0.1600,,,,0.0800,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.0000,1021d,positive,,broods per female,sawfly larvae abundance,Nestling,Black grouse,8.2000,1068.7000,natural variation,grasslands,,,,,1.0000,24.0000,,0.0300,,,0.8200,,,,0.3600,,,,,,,,,,,,23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112.0000,1112a,positive,,at least one fledgling,relative number of invertebrates in droppings,Fledgling,Western capercaillie,8.0000,2716.6000,diet-selected,agriculture,1.9000,,,,,,,,,,,,,,,0.4700,,,,,6.0000,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112.0000,1112b,positive,,Number of chicks per hen in July,Size of geometrid larva,Nestling,Western capercaillie,8.0000,2716.6000,diet-selected,agriculture,,,,,,,,0.0200,,,,0.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257.0000,1257a,positive,,2-week brood survival,median number of invertebrates,Nestling,Attwater prairie chicken,12.0000,870.1000,pesticides,grasslands,,,,,,,,,,,1.4500,,,,0.6000,,,,,,,,,,,,63.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257.0000,1257b,positive,,2 week brood survival,invertebrate biomass,Nestling,Attwater prairie chicken,12.0000,870.1000,pesticides,grasslands,,,,,,,,,,,1.0900,,,,0.5700,,,,,,,,,,,,63.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.0000,1260a,positive,,grey partridge Pair nesting success,Aphicide use,Adult,Grey partridge,15.0000,405.3000,pesticides,agriculture,-0.0300,,,,,,,,,,,-0.0100,,,,,,,0.9900,0.9500,,,,,,,47.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
