u,Authors,Year,Title,Source,Volume, Issue,Abstract,DOI,Notes,Reviewer,Population,Exposure,Outcome,Meets inclusion criteria,Reasons for exclusion,Year(s) of study,Geographic location,Latitude,Longitude,Habitat description,Bird species,Size,Proportion diet,Life stage,Food measurement,Insect sampling method,Type of prey,Comparator / control group,Effect calculable?,ES_ID
1001,"Morrow, Michael E. (mike_morrow@fws.gov) and Lehnen, Sarah E. and Chester, Rebecca E. and Pratt, Aaron C. and Sesnie, Steven E. and Kelso, Jay and Feuerbacher, C. Kirk",2022,Factors Affecting Survival of Attwater?s Prairie-Chicken Broods,Journal of Fish and Wildlife Management,13,2,"Annual population changes of most grouse, including the imperiled Attwater's prairie-chicken Tympanuchus cupido attwateri, are driven by annual reproductive success. Previous research identified poor survival of chicks as a primary bottleneck for recovery of this species. We evaluated the relative importance of 26 factors in 5 categories (weather and topography, habitat, plant phenology, time and site, hen characteristics) on Attwater's prairie-chicken brood survival to 2 wk posthatch (the period when chick mortality is highest) and on the number of chicks per brood at 6 wk posthatch (when chicks are capable of independent survival). Factors with most support for predicting brood survival to 2 wk included invertebrate dry mass, ordinal date, an index to maximum photosynthetic activity of vegetation from multispectral imagery, and proportion of brood locations within areas treated to suppress red imported fire ants Solenopsis invicta. Broods were most likely to survive if they hatched between early and late May and were located within areas 1) that were treated to suppress red imported fire ants, 2) where vegetation produced intermediate values for the maximum photosynthetic activity index, and 3) that supported high invertebrate biomass. The number of chicks per brood surviving to 6 wk posthatch was best predicted by a nonlinear relationship with a drought index during the first 2 wk posthatch, and it was maximized when average values of the drought index indicated moderately depleted soil moisture, but not severe drought. Our finding that the average drought index during the first 2 wk after hatch had more support for predicting the number of chicks per brood at 6 wk than did the average drought index for the entire 6 wk emphasizes the importance of the first 2 wk for Attwater's prairie-chickens. This comprehensive analysis of factors affecting Attwater's prairie-chicken brood survival provides valuable information to guide management and recovery efforts for this species.",10.3996/JFWM-21-054,,EMG,Phasianidae,Insect availability,Reproductive success,Yes,.,,"Attwater Prairie Chicken National Wildlife Refuge (APCNWR; Colorado County; 29.7°N, 96.3°W)",,,managed open grasslands containing mid–tall native grass species,Attwater Prairie Chicken,,,,mean mass per invertebrate > 1 mg and < 10 mg,sweep net,invertebrates,continuous,Yes,1001a
1002,TOLAND B R,1986,NESTING ECOLOGY OF NORTHERN HARRIERS IN SOUTHWEST MISSOURI USA,Transactions of the Missouri Academy of Science,20,,"Characteristics of northern harrier (Circus cyaneus hudsonius) nesting habitat at Prairie State Park in southwest Missouri are described. Fourteen of 15 (93%) harrier nests were built in patches of dense vegetation composed entirely or mostly of blackberry (Rubus sp.). These patches averaged 98 m2 in area and 79.2 cm in height. Nests were placed an average of 3.5 m from the outer edge of each patch. Nesting success was higher in pairs nesting in idled sections of the park than in managed sections. Mean clutch size was 5.3 (range 4-8), hatching success was 69.6%, fledging success was 60% of the eggs that hatched and an average of 3.3 young fledged per successful nest. Mammals comprised 44.9% of the diet by occurrence and 65.5% in estimated biomass. Avian prey species included greater prairie-chickens (Tympanuchus cupido).",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1003,NA,2004,TRANSACTIONS OF THE SIXTY-NINTH NORTH AMERICAN WILDLIFE AND NATURAL RESOURCES CONFERENCE,TRANSACTIONS OF THE SIXTY-NINTH NORTH AMERICAN WILDLIFE AND NATURAL RESOURCES CONFERENCE,69,NA,"This 812-page book contains the proceedings of the sixty-ninth North American Wildlife and Natural Resources Conference, which was held in Washington in March 2004. The theme of the conference was 'Resource Stewardship in the 21st Century: A Voyage of Rediscovery'. The book is structured based on the proceedings of the conference, which was conducted by session. The book contains the proceedings of 7 sessions. The opening session focuses on the quest for conservation, highlighting the Lewis and Clark expedition. This opening session contains opening remarks and remarks of the US National Park Service Director, and deals with the balancing act of providing water and power in an environmentally-sensitive world and with the quest to quantify conservation reserve program benefits. Special session 1 deals with the management of mammalian predators andtheir populations to avoid conflicts, including puma management in the West, predator management in Alaska, the increasing suburban problem of coyote attacks, restoration and conflict management of the gray wolf in Montana, Idaho andWyoming, management of habituated grizzly bears in North America, collaborative models for wildlife conservation in the Northern Rockies, and seasonal reduction of medium-sized populations of mammalian predators to enhance waterfowl production. Special session 2 of the conference deals with water resources, more specifically managing the Colorado River, managing the St. Lawrence River discharge in times of climatic uncertainty, and the Blackfoot experience. Special session 3 focuses on energy production and conserving wildlife and discusses the potential contrasting effects of biomass fuel, soy-based fuel, ethanol and wind energy developments on Northern Great Plains wildlife, hydropower relicensing and hatchery reform, avian responses to the harvesting of switchgrass fields for biomass, surface mining and wildlife resources in the Cumberland Plateau, the effect of energy development and human activity on sand sagebrush habitat use by lesser prairie chickens in Southwestern Kansas, impacts of oil and gas development on mule deer, and the effects of drilling in the Rocky Mountains. The focus of special session 4 is fire management, and this session discusses the challenging world of fire emissions, wildlife habitats, hazardous fuels and ecosystem health, the Healthy Forests Restoration Act of 2003, fire culture in the Southeast, prescribed burns and the effects on large carnivores in South Florida, and funding for fire restoration. The focus of special session 5 is marketing the outdoor experience, in particular management opportunities and obligations for mitigating off-road vehicle impact to wildlife and their habitats, safe and responsible all-terrain vehicle use in the US, the effects of off-road vehicles on the hunting experience, making the outdoors more accessible to people with disabilities through the use of motorized vehicles. Session 6 of the conference discussed the Starkey Project, which is a long-term research project for long-term management solutions for mule deer and elk management.This final session outlines the Starkey databases, the effects of roads on elkand the implications for management in forested ecosystems, spatial partitioning by mule deer and elk in relation to traffic, the effects of off-road recreation on mule deer and elk, elk productivity issues for research and management, the influence of the age of male elk and nutritional condition on short- and long-term reproductive success, nutritional condition indices for elk, nutrition nd parturition date effects on elk, the responses of elk and mule deer tovariation in hunting pressure, elk and mule deer movements and habitat use inthe Rocky Mountains, spatial and temporal interactions of elk, mule deer and cattle, diet composition, dry matter intake and diet overlap of mule deer, elkand cattle, landscape simulation of foraging by elk, mule deer and cattle in summer, thermal cover needs of large ungulates, the response of cattle and elkto intensive timber harvest, management implications of ungulate herbivory inNorthwest forest ecosystems, the role of ungulate herbivory and management onecosystem patterns and processes, and finally whether the Starkey Project hasdelivered on its commitments. All of the text is written in English and the book provides an outline of the registered audience, 2004 Wildlife Management Institute Service Award and 2004 Wildlife Management Touchstone Award. This book will be used by experts in conservation in North America.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1004,"Symes, Craig T. and Kruger, Tamara L.",2012,"The persistence of an apex avian predator, Verreauxs' eagle, <i>Aquila verreauxii</i>, in a rapidly urbanizing environment",South African Journal of Wildlife Research,42,1,"Anthropogenic land transformation processes in the vicinity of the Walter Sisulu National Botanical Garden, Johannesburg, South Africa, are a significant threat to natural vegetation and biodiversity. Breeding and feeding records of a Verreauxs' eagle (Aquila verreauxii), pair in the garden were analysed in relation to changes in the local environment due to urbanization. Natural prey-suitable habitat within a 10 km radius of the nest diminished by approximately 29.7 km(2) (9.5%) during 1984-2007. In 2007 approximately 116.7 km(2) (37.2%) of suitable prey habitat remained within this radius. Feeding data within a more recent period (1996-2008) suggest that there has been a switch from an optimal diet of rock hyrax (Procavia capensis) to less characteristic avian prey species such as helmeted guineafowl (Numida meleagris), francolins (Francolinus spp.) and supplemented food. Annual breeding success indicated few inconsistencies in incubation period, nestling period and post-fledging dispersal period relative to breeding Verreauxs' eagle elsewhere. Despite a reduction in the suitable prey habitat and change in prey composition (including supplemental feeding), breeding has persisted successfully over a 16-year period (1993-2008). The presence of a large apex avian predator in an extensively urbanized metropolis is encouraging with regard to ecological integrity and functioning but the future prospects for these Verreauxs' eagles may depend on an as yet unknown threshold of prey abundance, both natural and supplemented, and environmental disturbance.",10.3957/056.042.0109,,JRY,No,,,No,,,,,,,,,,,,,,,,
1005,"Rebollo, Salvador and Perez-Camacho, Lorenzo and Martinez-Hesterkamp, Sara and Tapia, Luis and Fernandez-Pereira, Jose M. and Morales-Castilla, Ignacio",2023,Anything for a quiet life: shelter from mobbers drives reproductive success in a top-level avian predator,Journal of Avian Biology,2023,4-Mar,"Understanding how habitat structure relates to reproductive performance of species can help identify what habitats are of the highest quality for a given species and thereby guide effective management. Here, we compared the influence of prey abundance and the amount of shelter area on the relationship between habitat and breeding performance. We focused on the forest-dwelling northern goshawk Accipiter gentilis in an agroforestry system. Using structural equation modelling, we tested the associations between reproductive performance and three explanatory factors: habitat structure, abundance of food resources or levels of mobbing disturbance, and prey supply to the nest. Our results suggest that habitat structure influences reproductive performance through shelter rather than through prey abundance. During the study period, forested habitats in the breeding territories provided shelter to the goshawk, reducing disturbance by carrion crows Corvus corone, which acted as large, aggressive, social mobbers. Decreased disturbance increased prey supply to the nest, probably because it favored food accessibility and male goshawk foraging efficiency. Habitat was not significantly associated with quality of the breeders, both in terms of body size and seniority in the territories. Our findings suggest that reproductive performance, and therefore habitat quality, may depend more on sheltered access to food resources than on the amount of food available. Our observation that mobbers decrease predator foraging efficiency highlights the possibility of designing effective, socially acceptable predator management strategies to protect sensitive domestic prey.",10.1111/jav.03060,,JRY,No,,,No,,,,,,,,,,,,,,,,
1006,"Horvath, M. and Szitta, T. and Firmanszky, G. and Solti, B. and Kovacs, A. and Moskat, C.",2010,SPATIAL VARIATION IN PREY COMPOSITION AND ITS POSSIBLE EFFECT ON REPRODUCTIVE SUCCESS IN AN EXPANDING EASTERN IMPERIAL EAGLE (<i>AQUILA HELIACA</i>) POPULATION,Acta Zoologica Academiae Scientiarum Hungaricae,56,2,"Reproductive success of raptor species is significantly affected by the quantity and/or quality of available prey. In our study we analysed prey composition of breeding imperial eagles (Aquila heliaca) in East Hungary, where 434 nesting events in 81 different territories had been monitored between 1995 and 2004. We identified 1297 prey items originating from 43 bird and 16 mammalian species (532 and 764 specimens, respectively). Three prey species, the brown hare (Lepus europaeus), the hamster (Cricetus cricetus) and the pheasant (Phasianus colchicus), seem to have especially important role in the diet of imperial eagles in Hungary, although their relative frequencies varied greatly among different regions. We found that eagles were less productive in a region where hamster was the main prey (West Zemplen Mts) as compared to a recently colonized hare-dominated region (Heves Plain), suggesting that hares may provide a better food source than hamsters. The increase of game species in the diet of imperial eagles could generate hostility in hunters. Possible conflict between nature conservation and small-game management may be resolved by raising public awareness and by common projects to improve hare and pheasant habitats.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1007,"Ontiveros, Diego and Pleguezuelos, Juan M.",2000,Influence of prey densities in the distribution and breeding success of Bonelli's eagle (Hieraaetus fasciatus): Management implications,Biological Conservation,93,1,"Diet, prey availability, and breeding success were studied in a population of Bonelli's eagle (Hieraaetus fasciatus) in the province of Granada, SE Spain. The densities of the main prey species, European wild rabbit (Oryctolagus cuniculus), red-legged partridge (Alectoris rufa), wood pigeon (Columba palumbus), and rock dove (Columba livia), representing 90.2% of the biomass, were analysed in 19 territories occupied by pairs of Bonelli's eagles and 15 potential territories that were unoccupied but appropriate for nesting. We found no significant differences in prey density between the two types of territories. Contrary to other raptor species, we found no significant relationship between the density of their main prey species and the distance of the neighbouring pairs, either between that density and breeding success. These findings, together with the prior knowledge of nest-site selection of this eagle in the study area, can be used for proper planning of conservation strategies. These should avoid unnecessary effort to increase the eagle's food supply, and should promote the reintroduction of individuals to suitable sites for Bonelli's eagle.",10.1016/S0006-3207(99)00117-2,,JRY,No,,,No,,,,,,,,,,,,,,,,
1008,"Lehikoinen, Aleksi (aleksi.lehikoinen@helsinki.fi) and Linden, Andreas and Byholm, Patrik and Ranta, Esa and Saurola, Pertti and Valkama, Jari and Kaitala, Veijo and Linden, Harto",2013,"Impact of climate change and prey abundance on nesting success of a top predator, the goshawk",Oecologia (Berlin),171,1,"Contemporary research has documented a large number of shifts in spring phenology and changes in distribution range although the average spring temperatures have increased by only 0.3-0.6 A degrees C over the past 100 years. Generally, earlier breeding birds have larger clutch sizes, and the advancing spring could thus potentially increase breeding success. Shifts in spring phenology can, however, be crucial for bird reproduction, and mistiming the breeding event may even have negative consequences for population development. Our aim was to explore how weather and prey abundance relates to the breeding performance of a north European top predator, the northern goshawk Accipiter gentilis. Our nationwide dataset from Finland, spanning the period 1989-2004, shows that ambient weather has a greater impact on the timing and success of breeding than the density of grouse Tetraonidae, the main prey of goshawks. Higher early spring temperatures were associated with advancing hatching date of goshawks. Correspondingly, grouse density and temperature during laying and brooding were positively associated with brood size, while precipitation showed a negative connection. Applying our models to a future scenario of climate warming, combined with a 50 % reduction in grouse density, suggests that average breeding dates will advance only 2.5 days and average breeding success would remain the same. Notably, breeding success was not spatially equal throughout Finland, as northern and eastern populations suffered most from declining grouse densities. The observed pattern is thus the opposite to what is expected from a population situated at the northern edge of its distribution range, and thus may help to understand why populations may not increase at the northern edge of their thermal distribution due to climate change.",10.1007/s00442-012-2411-z,,JRY,No,,,No,,,,,,,,,,,,,,,,
1009,"Yao, Xiaogang and Wu, Neng and Cai, Yan (caiyan@hainnu.edu.cn) and Yang, Canchao",2023,The effects of anthropogenic noise on nest predation with respect to predator species across different habitats and seasons,Avian Research,14,NA,"Noise pollution is a major component of sensory pollution that can disrupt the well-being and functioning of living organisms, affect a variety of life history traits in animals, and reduce their reproductive success. In this study, we used artificial nest experiments with noise manipulation to investigate the influence of anthropogenic noise on nest predation during the breeding and non-breeding seasons and in different forest habitats. We found that the noise treatment did not alter the predation rates or survival probabilities of birds in artificial nests. However, the diversity and species composition of nest predators in artificial pine forests varied between breeding and nonbreeding seasons, which may be explained by season-specific adaption of nest predators to bird nests or the unstable ecosystems of artificial forests. The diversity and species composition of nest predators differed between the different forests, probably because of differences in habitat heterogeneity. Predation time varied with treatment, season, and habitat, although most predators were nocturnal mammals. Niche segregation or changes in optimal foraging time may explain this phenomenon.",10.1016/j.avrs.2023.100121,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1010,"Tornberg, Risto",2000,Effects of changing landscape structure on the predator-prey interaction between goshawk and grouse,Acta Universitatis Ouluensis A Scientiae Rerum Naturalium,NA,346,"I studied the ecology of the goshawk-grouse relationship in Oulu, northern Finland, during and outside the breeding season, by radio-telemetry. This included museum samples of goshawk to obtain a better ecological as well as a better evolutionary understanding of it. The proportion of grouse in the diet of goshawks has decreased since the 1960's, in accordance with the decline of grouse populations. The main prey groups replacing the lacking grouse were corvids, squirrels and hares. The proportion of grouse was highest in spring and it decreased towards the end of the nestling phase. The most preferred grouse species were hazel grouse Bonasa bonasia and willow grouse Lagopus lagopus. Preferences for different prey types are not explained by active choices of goshawk, but by changes in the vulnerability of the prey species. The nestling phase, when food demand is highest, is not adjusted to when prey supply is highest, but before it. The size and shape of the goshawks has changed from the 1960's. Adult males became smaller but females larger. Both became relatively longer winged and tailed. Decrease of male's size may be a response to the change in the food supply. Prey types replacing grouse are generally smaller, which may cause the change in the male's morphology. Females being less active during the breeding season may not be affected. For the female to be larger is advantageous in winter when they kill 'over large' prey like mountain hares Lepus timidus and capercaillie cocks Tetrao urogallus. Wintering goshawks were mainly females in adult plumage that tended to stay in the study area. However, only one third bred locally. More than one quarter of all hawks died during the study. Although known to be inhabitants of old forests, which this study supports, goshawks are fairly well adapted to mosaic landscape resulting from modern forestry, providing that suitable sized prey is available. Females have less problems, probably because hares, the main winter prey for females, are not affected negatively by forestry, like grouse and squirrels are, the main prey for males. Goshawks have a remarkable impact on grouse populations, especially when non-territorial hawks, 'floaters' are also included. About one half of the total mortality rate of grouse may be due to goshawk predation. Goshawk predation accords to predictions of general predation theory and may be a noticeable factor contributing to cyclicity in grouse.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
